	 PaperID	 Similarity
 RANK 	1 598954	 SCORE  0.8007409
 RANK 	2 1118430	 SCORE  0.7502449
 RANK 	3 613631	 SCORE  0.6945053
 RANK 	4 599903	 SCORE  0.4152806
 RANK 	5 299606	 SCORE  0.3399963
 RANK 	6 212288	 SCORE  0.1675751
 RANK 	7 1016745	 SCORE  0.1397766
 RANK 	8 1577376	 SCORE  0.1312463
 RANK 	9 509133	 SCORE  0.1209993
 RANK 	10 152064	 SCORE  0.1183484
 RANK 	11 1571222	 SCORE  0.1112411
 RANK 	12 708878	 SCORE  0.1100632
 RANK 	13 628228	 SCORE  0.1013691
 RANK 	14 846415	 SCORE  0.1006434
 RANK 	15 597965	 SCORE  0.0997388
 RANK 	16 502770	 SCORE  0.0964332
 RANK 	17 300490	 SCORE  0.0948900
 RANK 	18 503138	 SCORE  0.0931934
 RANK 	19 856114	 SCORE  0.0907383
 RANK 	20 856149	 SCORE  0.0881277
 RANK 	21 1167899	 SCORE  0.0864142
 RANK 	22 300518	 SCORE  0.0859374
 RANK 	23 518647	 SCORE  0.0855226
 RANK 	24 159366	 SCORE  0.0854835
 RANK 	25 544850	 SCORE  0.0853760
